"Date" "Tem_4m_2p5_AVG" "Tem_4m_12p5_AVG" "Tem_4m_22p5_AVG" "Tem_4m_37p5_AVG" "Tem_4m_52p5_AVG"
1 0.660640245833333 1.4160987875 2.06445966666667 3.12296805208333 4.0052445
2 -4168.36842855285 -4167.62700348194 -4166.13425281036 -4164.1603174375 -4162.57667244271
3 1.70901443807812 2.77281021770833 3.33330166145833 4.04085523958333 5.000473953125
4 -3749.22938432118 -3748.45825611833 -3747.71684623438 -3746.72196563542 -3745.80274608333
5 1.9186038278125 2.233703371875 2.97332302604167 4.105900625 5.27906420833333
6 -7499.27146404745 -7499.37230844635 -7499.10276745976 -7498.59545273437 -7498.10434315625
7 -3332.72568602661 -3332.23497007708 -3331.75329277604 -3330.88241141146 -3330.08081133854
8 4.56398032395833 4.77287503645833 5.18326224131944 6.11422180729167 7.28093465625
9 0.954680567166667 1.35800936875 1.79221502083333 2.93888359375 3.95441419791667
10 -5.59069237708333 -3.19397286854167 -0.525850104375 2.681000015625 5.42375207291667
11 1.08808627046875 2.21340688072917 2.96889986979167 3.97128055729167 5.13454011458333
12 -1251.64944686271 -1249.70281890047 -1248.01038805625 -1246.15109268229 -1244.67933293229
13 1.42368341081771 2.19784465260417 3.15591448958333 4.26303190104167 5.32417935416667
14 -7082.87442973177 -7082.8281957869 -7082.51327198464 -7081.93466766667 -7081.37291240104
15 -5832.53965127239 -5832.26528528177 -5831.99933175694 -5831.49748855729 -5831.02097082292
16 3.75854952395833 4.27133646354167 4.92153410416667 6.24006611458333 7.37725496875
17 1.06963469875 1.48691063541667 1.84699536458333 2.93216086458333 3.90298422916667
18 -3.14379542548611 -1.84924706027778 -0.306202926041667 2.21765319270833 4.736478671875
19 1.18523674773958 2.13851051354167 2.80335544791667 3.81324845833333 5.07362541666667
20 -835.270583396099 -833.699245513927 -832.047984250828 -830.016734046875 -828.293159833333
21 1.82020674359375 2.15057901041667 3.011904171875 4.20183684375 5.32611692708333
22 -4999.74301555457 -4999.51293518339 -4999.07925289635 -4998.28908556771 -4997.44248930729
23 -3749.44448414554 -3749.00982274271 -3748.58453104861 -3747.80011851562 -3747.08743544792
24 3.84926045994792 4.35466667708333 4.93527345138889 6.147673203125 7.332217390625
25 0.647964202958333 1.26934945208333 1.74740454166667 2.88235190625 3.8490405625
26 -2.397217875 -1.21164320233333 0.0771696750572917 2.24557117708333 4.46825689583333
27 1.819322889375 2.56499361927083 3.0531624375 3.89930657291667 5.08091745833333
28 -3335.06881062505 -3334.03886478396 -3332.79500448817 -3331.08307351042 -3329.65263051042
29 4.218181115625 3.84819975 3.947483625 4.53018421354167 5.42713096875
30 -2916.71346277443 -2916.32427595829 -2915.69608605417 -2914.6206145625 -2913.48609784896
31 -1249.72999987661 -1249.1149176625 -1248.52858175 -1247.43474710937 -1246.44129244792
32 5.4270170828125 5.290415734375 5.59962255555556 6.34117127083333 7.38397601041667
33 0.659816381354167 1.1240181466875 1.57435848958333 2.74380810416667 3.7439371875
34 -2.29089402666667 -0.869107488888888 0.395458357083333 2.36386713020833 4.3621683125
35 1.43762711151042 2.45658033802083 3.10537252083333 4.00598072395833 5.131526015625
36 -1252.58111957843 -1251.18008307446 -1249.7156218991 -1247.69698939583 -1245.83011941146
37 0.945180139505208 2.63459303229167 3.91279132291667 4.89363603125 5.65935624479167
38 -2916.76489904042 -2916.34878245043 -2915.7012200349 -2914.61564044792 -2913.50539075
39 -7915.73763053937 -7915.60457698385 -7915.43983476389 -7915.21860039063 -7914.95827635417
40 6.787415625 6.60265539583333 6.72908896527778 7.07440657291667 7.742940015625
41 1.09119868291667 1.37515384229167 1.62582007291667 2.70736440625 3.68570973958333
42 -0.97353079681875 -0.0994418156249999 0.783220903677083 2.50457390104167 4.33752269270833
43 1.68050280804167 2.49969030729167 3.07590449479167 3.97806198958333 5.13367886979167
44 -3.26258011229167 -1.71574210642708 0.0683726435208333 2.322148375 4.35478315104167
45 -1.20874251520833 0.666484772760417 2.44887244791667 4.19834466145833 5.44552148958333
46 -2500.01770739807 -2499.68402102344 -2499.03077755521 -2497.90575848958 -2496.74780639583
47 -9999 -9999 -9999 -9999 -9999
48 4.43688156145833 5.785824171875 6.61324767361111 7.39860872916667 8.04466440104167
49 1.475536765 1.6909686125 1.849328875 2.79621042708333 3.69065940625
50 -0.242837058958333 0.556241538888889 1.2362220878125 2.73850671875 4.39060327604167
51 2.45933005265625 2.95309136666667 3.35380216666667 4.11048619270833 5.180831890625
52 -1665.68119762908 -1665.57463699326 -1665.28073283125 -1664.26350658854 -1662.88047114063
53 -1.45765543117188 -0.030543594734375 1.59893269010417 3.47234786979167 4.98147153125
54 -2082.7037982062 -2082.66294762276 -2082.13899406719 -2081.13070335937 -2079.99302134375
55 -9999 -9999 -9999 -9999 -9999
56 0.73596847565625 2.4322182953125 3.96586540277778 6.20334508333333 7.6813460625
57 1.877825125 2.08456806666667 2.14610723958333 2.96803822916667 3.75663321875
58 0.696401646875 1.40162453763889 1.88417135625 3.11108361979167 4.54225396354167
59 2.87939518291667 3.44269620833333 3.84384415104167 4.46051285416667 5.349393578125
60 -832.772321606458 -832.021069178177 -831.307512458333 -830.2539566875 -829.075190104167
61 -0.491134309333333 0.41254258328125 1.57762861875 3.15555589583333 4.63715658854167
