"year" "doy" "hour" "month" "SW"
2010 1 0 1 -9999
2010 1 1 1 -9999
2010 1 2 1 -9999
2010 1 3 1 -9999
2010 1 4 1 -9999
2010 1 5 1 -9999
2010 1 6 1 -9999
2010 1 7 1 -9999
2010 1 8 1 -9999
2010 1 9 1 -9999
2010 1 10 1 -9999
2010 1 11 1 -9999
2010 1 12 1 -9999
2010 1 13 1 -9999
2010 1 14 1 -9999
2010 1 15 1 -9999
2010 1 16 1 -9999
2010 1 17 1 -9999
2010 1 18 1 -9999
2010 1 19 1 -9999
2010 1 20 1 -9999
2010 1 21 1 -9999
2010 1 22 1 -9999
2010 1 23 1 -9999
2010 2 0 1 -9999
2010 2 1 1 -9999
2010 2 2 1 -9999
2010 2 3 1 -9999
2010 2 4 1 -9999
2010 2 5 1 -9999
2010 2 6 1 -9999
2010 2 7 1 -9999
2010 2 8 1 -9999
2010 2 9 1 -9999
2010 2 10 1 -9999
2010 2 11 1 -9999
2010 2 12 1 -9999
2010 2 13 1 -9999
2010 2 14 1 -9999
2010 2 15 1 -9999
2010 2 16 1 -9999
2010 2 17 1 -9999
2010 2 18 1 -9999
2010 2 19 1 -9999
2010 2 20 1 -9999
2010 2 21 1 -9999
2010 2 22 1 -9999
2010 2 23 1 -9999
2010 3 0 1 -9999
2010 3 1 1 -9999
2010 3 2 1 -9999
2010 3 3 1 -9999
2010 3 4 1 -9999
2010 3 5 1 -9999
2010 3 6 1 -9999
2010 3 7 1 -9999
2010 3 8 1 -9999
2010 3 9 1 -9999
2010 3 10 1 -9999
2010 3 11 1 -9999
2010 3 12 1 -9999
2010 3 13 1 -9999
2010 3 14 1 -9999
2010 3 15 1 -9999
2010 3 16 1 -9999
2010 3 17 1 -9999
2010 3 18 1 -9999
2010 3 19 1 -9999
2010 3 20 1 -9999
2010 3 21 1 -9999
2010 3 22 1 -9999
2010 3 23 1 -9999
2010 4 0 1 -9999
2010 4 1 1 -9999
2010 4 2 1 -9999
2010 4 3 1 -9999
2010 4 4 1 -9999
2010 4 5 1 -9999
2010 4 6 1 -9999
2010 4 7 1 -9999
2010 4 8 1 -9999
2010 4 9 1 -9999
2010 4 10 1 -9999
2010 4 11 1 -9999
2010 4 12 1 -9999
2010 4 13 1 -9999
2010 4 14 1 -9999
2010 4 15 1 -9999
2010 4 16 1 -9999
2010 4 17 1 -9999
2010 4 18 1 -9999
2010 4 19 1 -9999
2010 4 20 1 -9999
2010 4 21 1 -9999
2010 4 22 1 -9999
2010 4 23 1 -9999
2010 5 0 1 -9999
2010 5 1 1 -9999
2010 5 2 1 -9999
2010 5 3 1 -9999
2010 5 4 1 -9999
2010 5 5 1 -9999
2010 5 6 1 -9999
2010 5 7 1 -9999
2010 5 8 1 -9999
2010 5 9 1 -9999
2010 5 10 1 -9999
2010 5 11 1 -9999
2010 5 12 1 -9999
2010 5 13 1 -9999
2010 5 14 1 -9999
2010 5 15 1 -9999
2010 5 16 1 -9999
2010 5 17 1 -9999
2010 5 18 1 -9999
2010 5 19 1 -9999
2010 5 20 1 -9999
2010 5 21 1 -9999
2010 5 22 1 -9999
2010 5 23 1 -9999
2010 6 0 1 -9999
2010 6 1 1 -9999
