 sdoy, GPP_d, NEE_d, Reco_d,Foliage,fNPP,Wood,wNPP,Root,rNPP,soilC,pheno,LAI
      1,         0.0000,         0.3100,         0.3100,        49.8812,         0.0000,         0.0000,         0.0000,        49.9882,         0.0000,      4999.9932,         0.0000,         1.0392
      2,         0.0000,         0.3947,         0.3947,        49.7602,         0.0000,         0.0000,         0.0000,        49.9698,         0.0000,      4999.9829,         0.0000,         1.0367
      3,         0.0000,         0.3635,         0.3635,        49.6372,         0.0000,         0.0000,         0.0000,        49.9510,         0.0000,      4999.9717,         0.0000,         1.0341
      4,         0.0000,         0.3066,         0.3066,        49.5163,         0.0000,         0.0000,         0.0000,        49.9325,         0.0000,      4999.9600,         0.0000,         1.0316
      5,         0.0000,         0.3192,         0.3192,        49.3983,         0.0000,         0.0000,         0.0000,        49.9145,         0.0000,      4999.9482,         0.0000,         1.0291
      6,         0.0000,         0.4159,         0.4159,        49.2805,         0.0000,         0.0000,         0.0000,        49.8965,         0.0000,      4999.9390,         0.0000,         1.0267
      7,         0.0000,         0.3248,         0.3248,        49.1604,         0.0000,         0.0000,         0.0000,        49.8780,         0.0000,      4999.9277,         0.0000,         1.0242
      8,         0.0000,         0.2479,         0.2479,        49.0417,         0.0000,         0.0000,         0.0000,        49.8597,         0.0000,      4999.9146,         0.0000,         1.0217
      9,         0.0000,         0.2430,         0.2430,        48.9298,         0.0000,         0.0000,         0.0000,        49.8427,         0.0000,      4999.9033,         0.0000,         1.0194
     10,         0.0000,         0.3024,         0.3024,        48.8184,         0.0000,         0.0000,         0.0000,        49.8258,         0.0000,      4999.8945,         0.0000,         1.0170
     11,         0.0000,         0.4545,         0.4545,        48.7064,         0.0000,         0.0000,         0.0000,        49.8088,         0.0000,      4999.8867,         0.0000,         1.0147
     12,         0.0000,         0.3941,         0.3941,        48.5934,         0.0000,         0.0000,         0.0000,        49.7914,         0.0000,      4999.8779,         0.0000,         1.0124
     13,         0.0000,         0.4995,         0.4995,        48.4790,         0.0000,         0.0000,         0.0000,        49.7737,         0.0000,      4999.8696,         0.0000,         1.0100
     14,         0.0000,         0.5353,         0.5353,        48.3556,         0.0000,         0.0000,         0.0000,        49.7544,         0.0000,      4999.8613,         0.0000,         1.0074
     15,         0.0000,         0.4617,         0.4617,        48.2230,         0.0000,         0.0000,         0.0000,        49.7333,         0.0000,      4999.8545,         0.0000,         1.0046
     16,         0.0000,         0.4117,         0.4117,        48.0877,         0.0000,         0.0000,         0.0000,        49.7117,         0.0000,      4999.8491,         0.0000,         1.0018
     17,         0.0000,         0.5025,         0.5025,        47.9485,         0.0000,         0.0000,         0.0000,        49.6894,         0.0000,      4999.8486,         0.0000,         0.9989
     18,         0.0000,         0.5417,         0.5417,        47.8052,         0.0000,         0.0000,         0.0000,        49.6663,         0.0000,      4999.8486,         0.0000,         0.9959
     19,         0.0000,         0.6125,         0.6125,        47.6568,         0.0000,         0.0000,         0.0000,        49.6421,         0.0000,      4999.8447,         0.0000,         0.9928
     20,         0.0000,         0.5677,         0.5677,        47.5101,         0.0000,         0.0000,         0.0000,        49.6183,         0.0000,      4999.8369,         0.0000,         0.9898
     21,         0.0000,         0.6467,         0.6467,        47.3649,         0.0000,         0.0000,         0.0000,        49.5946,         0.0000,      4999.8330,         0.0000,         0.9868
     22,         0.0000,         0.5650,         0.5650,        47.2111,         0.0000,         0.0000,         0.0000,        49.5693,         0.0000,      4999.8228,         0.0000,         0.9836
     23,         0.0000,         0.4129,         0.4129,        47.0537,         0.0000,         0.0000,         0.0000,        49.5432,         0.0000,      4999.8091,         0.0000,         0.9803
     24,         0.0000,         0.3665,         0.3665,        46.8981,         0.0000,         0.0000,         0.0000,        49.5174,         0.0000,      4999.7969,         0.0000,         0.9770
     25,         0.0000,         0.3112,         0.3112,        46.7443,         0.0000,         0.0000,         0.0000,        49.4919,         0.0000,      4999.7866,         0.0000,         0.9738
     26,         0.0000,         0.3833,         0.3833,        46.5919,         0.0000,         0.0000,         0.0000,        49.4665,         0.0000,      4999.7793,         0.0000,         0.9707
     27,         0.0000,         0.4755,         0.4755,        46.4408,         0.0000,         0.0000,         0.0000,        49.4413,         0.0000,      4999.7734,         0.0000,         0.9675
     28,         0.0000,         0.3302,         0.3302,        46.2903,         0.0000,         0.0000,         0.0000,        49.4161,         0.0000,      4999.7617,         0.0000,         0.9644
     29,         0.0000,         0.2876,         0.2876,        46.1404,         0.0000,         0.0000,         0.0000,        49.3910,         0.0000,      4999.7529,         0.0000,         0.9613
     30,         0.0000,         0.3917,         0.3917,        45.9915,         0.0000,         0.0000,         0.0000,        49.3659,         0.0000,      4999.7471,         0.0000,         0.9582
     31,         0.0000,         0.4134,         0.4134,        45.8436,         0.0000,         0.0000,         0.0000,        49.3410,         0.0000,      4999.7412,         0.0000,         0.9551
     32,         0.0000,         0.4512,         0.4512,        45.6966,         0.0000,         0.0000,         0.0000,        49.3161,         0.0000,      4999.7344,         0.0000,         0.9520
