 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4, QC5, QC6, QC7, QC8, Rh_d
      1,         0.0000,         0.3100,         0.3100,         0.0000,         0.2961,        49.8812,         0.0000,        49.9882,        50.1209,        49.9997,        99.9900,      2400.0037,      2499.9993,         0.0139
      2,         0.0000,         0.3947,         0.3947,         0.0000,         0.3726,        49.7602,         0.0000,        49.9698,        50.2447,        49.9992,        99.9741,      2400.0095,      2499.9993,         0.0221
      3,         0.0000,         0.3635,         0.3635,         0.0000,         0.3413,        49.6372,         0.0000,        49.9510,        50.3718,        49.9987,        99.9571,      2400.0154,      2499.9993,         0.0222
      4,         0.0000,         0.3066,         0.3066,         0.0000,         0.2855,        49.5163,         0.0000,        49.9325,        50.4986,        49.9983,        99.9392,      2400.0212,      2499.9993,         0.0211
      5,         0.0000,         0.3192,         0.3192,         0.0000,         0.2986,        49.3983,         0.0000,        49.9145,        50.6217,        49.9979,        99.9222,      2400.0271,      2499.9993,         0.0206
      6,         0.0000,         0.4159,         0.4159,         0.0000,         0.3939,        49.2805,         0.0000,        49.8965,        50.7417,        49.9973,        99.9068,      2400.0330,      2499.9993,         0.0220
      7,         0.0000,         0.3248,         0.3248,         0.0000,         0.3033,        49.1604,         0.0000,        49.8780,        50.8668,        49.9969,        99.8894,      2400.0388,      2499.9993,         0.0215
      8,         0.0000,         0.2479,         0.2479,         0.0000,         0.2279,        49.0417,         0.0000,        49.8597,        50.9931,        49.9966,        99.8706,      2400.0447,      2499.9993,         0.0200
      9,         0.0000,         0.2430,         0.2430,         0.0000,         0.2251,        48.9298,         0.0000,        49.8427,        51.1123,        49.9962,        99.8539,      2400.0505,      2499.9993,         0.0179
     10,         0.0000,         0.3024,         0.3024,         0.0000,         0.2842,        48.8184,         0.0000,        49.8258,        51.2293,        49.9959,        99.8388,      2400.0564,      2499.9993,         0.0182
     11,         0.0000,         0.4545,         0.4545,         0.0000,         0.4337,        48.7064,         0.0000,        49.8088,        51.3424,        49.9954,        99.8254,      2400.0623,      2499.9993,         0.0208
     12,         0.0000,         0.3941,         0.3941,         0.0000,         0.3731,        48.5934,         0.0000,        49.7914,        51.4580,        49.9949,        99.8102,      2400.0681,      2499.9993,         0.0210
